,Pixel_Intensity_B4,Pixel_Intensity_B3,Pixel_Intensity_B2,IOU,Scores,Class1,Class2,Class3,Class4,Class5,Class6,Cloud_Prob,Date,Fitted,Index,B4_CI,B3_CI,B2_CI,IOU_CI,Scores_CI,Class1_CI,Class2_CI,Class3_CI,Class4_CI,Class5_CI,Class6_CI,Cloud_Prob_CI
27,2797.0,2942.0,3364.0,1.036689519882202,0.9826622,0.141371950507164,0.817071259021759,0.01221031229943037,0.001383263268508017,0.00490765692666173,0.023055609315633774,100.0,2022-03-28 00:00:00,0,28,0,1,1,0,0,0,0,1,1,1,0,0
28,1550.0,1700.0,1988.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,58.0,2022-03-31 00:00:00,0,29,0,0,0,0,1,1,1,1,1,0,1,0
29,2260.0,2397.0,2774.0,1.0289264917373655,0.9831597,0.14825807511806488,0.8098050951957703,0.012218359857797623,0.0013806951465085149,0.004931445699185133,0.023406164720654488,100.0,2022-04-05 00:00:00,0,30,0,0,0,1,0,0,0,1,1,1,0,0
30,1560.0,1705.0,1987.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-04-07 00:00:00,0,31,0,0,0,0,1,1,1,1,1,0,1,0
31,5614.0,5323.0,5849.0,1.0360924005508425,0.9827026,0.14458471536636353,0.8136547207832336,0.012219332158565521,0.001383143593557179,0.004921655636280775,0.023236364126205444,3.0,2022-04-12 00:00:00,0,32,0,0,0,0,0,0,0,1,1,1,0,0
32,4689.0,4428.0,4776.0,1.012332797050476,0.9967133,0.002383062383159995,0.9736019372940063,0.006929302588105202,0.007767603732645512,0.004818977788090706,0.0044990717433393,14.0,2022-04-15 00:00:00,0,33,0,0,0,0,0,0,0,0,0,0,0,0
33,7638.0,7191.0,7755.0,1.0277464389801023,0.98317826,0.14891356229782104,0.8091235160827637,0.012196852825582027,0.0013785728951916099,0.004933652002364397,0.023453883826732635,53.0,2022-04-17 00:00:00,0,34,0,0,0,0,0,0,0,1,1,1,0,0
34,2692.0,2671.0,2899.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,3.0,2022-04-20 00:00:00,0,35,0,0,0,0,1,1,1,1,1,0,1,0
35,1995.0,2071.0,2421.0,1.0360924005508425,0.9827026,0.14458471536636353,0.8136547207832336,0.012219332158565521,0.001383143593557179,0.004921655636280775,0.023236364126205444,2.0,2022-04-25 00:00:00,0,36,0,0,0,0,0,0,0,1,1,1,0,0
36,8797.0,8201.0,8953.0,1.011854887008667,0.9962103,0.0024203851353377104,0.973498523235321,0.00703163119032979,0.007816482335329056,0.004709931556135416,0.0045232027769088745,4.0,2022-04-27 00:00:00,0,37,0,0,0,0,0,0,0,0,0,0,0,0
37,5438.0,5210.0,5777.0,1.0387176275253296,0.98271996,0.14335264265537262,0.8149971961975098,0.01221028808504343,0.0013808459043502808,0.004913306329399347,0.02314569056034088,2.0,2022-05-05 00:00:00,0,38,0,0,0,0,0,0,0,1,1,1,0,0
38,1490.0,1611.0,1886.0,1.027737379074097,0.9831816,0.15356478095054626,0.8042253851890564,0.012200442142784595,0.0013780971057713032,0.004949694033712149,0.023681631311774254,100.0,2022-05-07 00:00:00,0,39,0,0,0,0,0,0,0,1,1,0,0,0
39,1538.0,1687.0,1965.0,1.0145998001098633,0.9957015,0.0023916750214993954,0.9740266799926758,0.006929275579750538,0.007571185473352671,0.004647939931601286,0.004433300346136093,20.0,2022-05-10 00:00:00,0,40,0,0,0,0,0,0,0,0,0,0,0,0
40,1798.0,1894.0,2170.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,5.0,2022-05-12 00:00:00,0,41,0,0,0,0,0,0,0,1,1,1,0,0
41,1565.0,1710.0,1984.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,1.0,2022-05-15 00:00:00,0,42,0,0,0,0,1,1,1,1,1,0,1,0
42,1545.0,1667.0,1896.0,1.0387176275253296,0.98271996,0.14335264265537262,0.8149971961975098,0.01221028808504343,0.0013808459043502808,0.004913306329399347,0.02314569056034088,98.0,2022-05-17 00:00:00,0,43,0,0,0,0,0,0,0,1,1,1,0,0
43,1520.0,1621.0,1853.0,1.0131046772003174,0.9972542,0.002410493791103363,0.973712682723999,0.007046373561024666,0.007721727713942528,0.0046454607509076595,0.004463328514248133,100.0,2022-05-20 00:00:00,0,44,0,0,0,0,0,0,0,0,0,0,0,0
44,1575.0,1676.0,1932.0,1.027734875679016,0.9831647,0.15489710867404938,0.8028271794319153,0.012201010249555111,0.0013782370369881392,0.00495324470102787,0.02374322898685932,83.0,2022-05-22 00:00:00,0,45,0,0,0,0,0,0,0,1,1,0,0,0
45,1926.0,1923.0,2138.0,1.0113993883132937,1.0022832,0.009718292392790318,0.9635154604911804,0.008311287499964237,0.003833515103906393,0.0050993491895496845,0.009522165171802044,100.0,2022-05-25 00:00:00,0,46,0,0,0,0,0,0,0,0,0,0,0,0
46,4569.0,4535.0,4954.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,100.0,2022-05-27 00:00:00,0,47,0,0,0,0,0,0,0,1,1,1,0,0
47,1621.0,1701.0,1903.0,1.0131771564483645,0.9969643,0.002398356795310974,0.9730684161186218,0.007041086908429861,0.008059399202466011,0.004883634392172098,0.004549031611531973,100.0,2022-05-30 00:00:00,0,48,0,0,0,0,0,0,0,0,0,1,0,0
